Image URL,Title,Author,Release Date,Supporters,Detailed Page URL
https://ideascdn.lego.com/media/generate/lego_ci/750b1e50-8f68-46a4-af20-550c37ca3904/resize:900:600/webp,FLOATING SEA OTTER,By HisBrickMaterials,2024-04-30T14:12:02.300167Z,4234,https://ideas.lego.com/projects/102d5f80-6a1f-4cec-8098-e24468b0c01f
https://ideascdn.lego.com/media/generate/lego_ci/69a6c15d-bc10-4e81-8a46-7adc2b2f67e5/resize:900:600/webp,CLIFFSIDE HOUSE,By red-panda58892,2024-05-02T15:55:38.908243Z,2640,https://ideas.lego.com/projects/46f57aff-c7ee-4137-9f17-b5f9cc80643f
https://ideascdn.lego.com/media/generate/lego_ci/4c6cc8a0-fe4b-4594-939a-3b0f99308ac0/resize:900:600/webp,BLUEY!!,By Monkey Scout,2024-05-15T12:28:00.813223Z,2510,https://ideas.lego.com/projects/8e165f89-a40a-4f5a-953f-615b36a0c245
https://ideascdn.lego.com/media/generate/lego_ci/a6dbeb9e-b97d-4819-9ca4-d5f6303056e6/resize:900:600/webp,ROMAN THERMAE (ROMAN BATH),By Junglescream,2024-05-09T14:06:34.627070Z,1392,https://ideas.lego.com/projects/40c53b0e-b9c1-4275-bf29-49ab3f398775
https://ideascdn.lego.com/media/generate/lego_ci/526db1cb-1637-4f74-ba2e-5fead44afb17/resize:900:600/webp,ARSENAL F.C. - THE INVINCIBLES,By PetaS,2024-05-02T15:36:30.352874Z,1288,https://ideas.lego.com/projects/ea534897-70bc-40c6-a06e-576bc86d1b17
https://ideascdn.lego.com/media/generate/lego_ci/4b89a0c8-a071-4020-a047-2dfa375374f1/resize:900:600/webp,CITY SKYLINE BOOKENDS,By Farmfarm,2024-04-29T10:30:16.849257Z,1629,https://ideas.lego.com/projects/c99f2e37-06d7-41cc-9f39-c9afdb5e3505
https://ideascdn.lego.com/media/generate/lego_ci/f327a8bb-3083-4b94-8343-f1142e2e26f1/resize:900:600/webp,PLANET EXPRESS HEADQUARTERS,By Kyosset,2024-05-02T15:42:42.241321Z,1651,https://ideas.lego.com/projects/f25709e8-d95e-4947-952c-0b7afce5c8e5
https://ideascdn.lego.com/media/generate/lego_ci/6b804bd3-6ac4-45ed-8266-1d0d3b441e62/resize:900:600/webp,WORKING RIVER RAPIDS RIDE – FAIRGROUND RAFTING COASTER,By Baron von Barron,2024-05-08T14:43:14.802214Z,1722,https://ideas.lego.com/projects/1ad9fc26-c19c-4967-b87e-376dc5035c81
https://ideascdn.lego.com/media/generate/lego_ci/3705c846-0f05-4d7d-b8ac-c23e0c4359a8/resize:900:600/webp,A MARK IN AVIATION HISTORY: THE WRIGHT FLYER,By AthleticSkylor088,2024-04-17T18:55:06.101028Z,1996,https://ideas.lego.com/projects/b68263a2-84a5-4a91-9606-7ac39028dfed
https://ideascdn.lego.com/media/generate/lego_ci/6edb7a33-4e32-484c-b223-5f57651852bf/resize:900:600/webp,MAGIC BOOKENDS,By Brick Dangerous,2024-05-02T12:33:27.299665Z,2798,https://ideas.lego.com/projects/60ecf5f2-ab75-412b-b02d-96a07bc6a68c
https://ideascdn.lego.com/media/generate/lego_ci/395f35e9-b9a2-4ccc-b898-0b31711d0a33/resize:900:600/webp,THE DISCWORLD UNSEEN UNIVERSITY LIBRARY,By BrickMorpork,2024-03-12T08:32:59.710115Z,6987,https://ideas.lego.com/projects/b023eb6a-83fc-48dc-b125-5f2a6b7167a1
https://ideascdn.lego.com/media/generate/lego_ci/8ee93f6d-ed71-40d7-bbc3-b4b1f3a91eb3/resize:900:600/webp,TETRIS SOLID,By victorvey300,2024-03-12T14:18:46.748822Z,7740,https://ideas.lego.com/projects/b2130b76-593e-406e-ac67-2dc97d3eb9b6
https://ideascdn.lego.com/media/generate/lego_ci/4f7723b4-5093-4421-b6f2-1d01067360a6/resize:900:600/webp,BRICK WATCH LIFEGUARD HEADQUARTERS,By Filibbooo,2024-04-25T16:35:26.534104Z,762,https://ideas.lego.com/projects/46d60ce7-1d47-490c-be51-585061809ff1
https://ideascdn.lego.com/media/generate/lego_ci/8a336f26-c6b9-4b87-882a-63cabfdb523b/resize:900:600/webp,JUMANJI GAME BOARD 🐘🐒🦏🎲,By Airbricks95,2024-05-03T16:09:11.916677Z,2004,https://ideas.lego.com/projects/c3c17d46-2d28-4f9f-9008-ae636477832c
https://ideascdn.lego.com/media/generate/lego_ci/d4578299-445f-45bd-9fab-315d128deab8/resize:900:600/webp,ARTISTS CAFE - THE UNIVERSITY HOUSE,By 2PPL,2024-01-10T15:30:57.893726Z,9691,https://ideas.lego.com/projects/29da8260-9b88-4139-97fa-ee44c878144e
https://ideascdn.lego.com/media/generate/lego_ci/3f0c7408-43f2-45b7-b92c-1f3c0263931f/resize:900:600/webp,AVATAR: THE LAST AIRBENDER!,By Firecracker_,2024-03-14T14:00:18.531469Z,6947,https://ideas.lego.com/projects/d8e8c1d0-d27a-4cb3-96d5-6ac98d31a719
https://ideascdn.lego.com/media/generate/lego_ci/b2d3f555-0bc3-4e3a-9b42-8fa30d354160/resize:900:600/webp,STRUMMING ROCKER 🎸🤘🏼,By clicklever,2024-04-16T13:38:44.063350Z,1018,https://ideas.lego.com/projects/9f3e383e-c063-4b6e-b0e4-474f199efde8
https://ideascdn.lego.com/media/generate/lego_ci/668764b2-7b94-49be-b490-82d5ef9c23b3/resize:900:600/webp,GENTO BY SB19,By markgoti,2024-05-10T09:44:44.611025Z,1495,https://ideas.lego.com/projects/74424cd3-8104-4c4c-a0bf-9f3ed261df4a
